Quand ﻿Quand
ADV ADV
endormis endormis
VERB ADJ
endormis endormis
VERB ADJ
pour pour
ADP ADP
parler parler
VERB VERB
puis puis
CCONJ CCONJ
, ,
PUNCT PUNCT
bâillant bâillant
NOUN VERB
bâillant bâillant
NOUN VERB
et et
CCONJ CCONJ
s' s'
PRON PRON
étirant étirant
VERB VERB
, ,
PUNCT PUNCT
ils ils
PRON PRON
descendirent descendirent
VERB VERB
tous tous
ADJ PRON
tous tous
ADJ PRON
les les
DET DET
quatre quatre
PRON NUM
quatre quatre
PRON NUM
dans dans
ADP ADP
la la
DET DET
cuisine cuisine
NOUN NOUN
. .
PUNCT PUNCT
Mrs Mrs
PROPN PROPN
Weasley Weasley
PROPN PROPN
remuait remuait
VERB VERB
le le
DET DET
contenu contenu
NOUN NOUN
d' d'
ADP ADP
une une
DET DET
grande grande
ADJ ADJ
marmite marmite
NOUN NUN
marmite marmite
NOUN NUN
posée posée
VERB VERB
sur sur
ADP ADP
la la
DET DET
cuisinière cuisinière
NOUN NOUN
, ,
PUNCT PUNCT
pendant pendant
ADP ADP
que que
SCONJ SCONJ
Mr Mr
PROPN PROPN
Weasley Weasley
PROPN PROPN
, ,
PUNCT PUNCT
assis assis
VERB VERB
à à
ADP ADP
la la
DET DET
table table
NOUN NOUN
, ,
PUNCT PUNCT
examinait examinait
VERB VERB
une une
DET DET
liasse liasse
NOUN NOUN
de de
ADP ADP
billets billets
NOUN NOUN
d' d'
ADP ADP
entrée entrée
NOUN NOUN
imprimés imprimés
VERB VERB
sur sur
ADP ADP
de de
DET ADP
de de
DET ADP
grands grands
ADJ ADJ
parchemins parchemins
NOUN NOUN
. .
PUNCT PUNCT
Il Il
PRON PRON
leva leva
VERB VERB
la la
DET DET
tête tête
NOUN NOUN
à à
ADP ADP
l' l'
DET DET
arrivée arrivée
NOUN NOUN
des des
ADP DET
des des
ADP DET
quatre quatre
NUM NUM
garçons garçons
NOUN NOUN
et et
CCONJ CCONJ
écarta écarta
NOUN VERB
écarta écarta
NOUN VERB
les les
DET DET
bras bras
NOUN NOUN
pour pour
ADP ADP
qu' qu'
SCONJ SCONJ
ils ils
PRON PRIN
ils ils
PRON PRIN
puissent puissent
VERB VERB
mieux mieux
ADV ADV
voir voir
VERB VERB
ses ses
DET DET
vêtements vêtements
NOUN NOUN
. .
PUNCT PUNCT
Il Il
PRON PRON
portait portait
VERB VERB
un un
DET DET
chandail chandail
NOUN NOUN
de de
ADP ADP
golf golf
NOUN NOUN
et et
CCONJ CCONJ
un un
DET DET
très très
ADV ADV
vieux vieux
ADJ ADJ
jean jean
PROPN NOUN
jean jean
PROPN NOUN
, ,
PUNCT PUNCT
un un
DET DET
peu peu
ADV NOUN
peu peu
ADV NOUN
trop trop
ADV ADV
grand grand
ADJ ADJ
pour pour
ADP ADP
lui lui
PRON PRON
, ,
PUNCT PUNCT
retenu retenu
VERB VERB
par par
ADP ADP
une une
DET DET
épaisse épaisse
NOUN ADJ
épaisse épaisse
NOUN ADJ
ceinture ceinture
ADJ NOUN
ceinture ceinture
ADJ NOUN
de de
ADP DET
de de
ADP DET
cuir cuir
NOUN NOUN
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Qu' Qu'
PRON SCONJ
Qu' Qu'
PRON SCONJ
est est
AUX VERB
est est
AUX VERB
-ce -
PRON PUNCT
-ce ce
PRON PRON
que que
SCONJ SCONJ
vous vous
PRON PRON
en en
PRON PRON
pensez pensez
VERB VERB
? ?
PUNCT PUNCT
demanda demanda
ADJ VERB
demanda demanda
ADJ VERB
-t -t-il
PRON PRON
-il -t-il
PRON PRON
d' d'
ADP ADP
un un
DET DET
ton ton
NOUN NOUN
anxieux anxieux
ADJ ADJ
. .
PUNCT PUNCT
Il Il
PRON PRON
ne ne
ADV ADV
faut faut
VERB VERB
surtout surtout
ADV ADV
pas pas
ADV ADV
qu' qu'
SCONJ SCONJ
on on
PRON PRON
se se
PRON PRON
fasse fasse
VERB VERB
remarquer remarquer
VERB VERB
. .
PUNCT PUNCT
Est Est
AUX VERB
Est Est
AUX VERB
-ce -
PRON PUNCT
-ce ce
PRON PRON
que que
SCONJ SCONJ
j' j'
PRON PRON
ai ai
VERB VERB
l' l'
DET DET
air air
NOUN NOUN
d' d'
ADP ADP
un un
DET DET
Moldu Moldu
NOUN NOUN
, ,
PUNCT PUNCT
Harry Harry
PROPN PROPN
? ?
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Oui Oui
NOUN INTJ
Oui Oui
NOUN INTJ
, ,
PUNCT PUNCT
répondit répondit
NOUN VERB
répondit répondit
NOUN VERB
Harry Harry
PROPN PROPN
avec avec
ADP ADP
un un
DET DET
sourire sourire
ADJ NOUN
sourire sourire
ADJ NOUN
, ,
PUNCT PUNCT
c' c'
PRON PRON
est est
AUX VERB
est est
AUX VERB
très très
ADV ADV
bien bien
ADV ADJ
bien bien
ADV ADJ
. .
PUNCT PUNCT
– –
VERB PUNCT
– –
VERB PUNCT
Où Où
PRON ADV
Où Où
PRON ADV
sont sont
AUX VERB
sont sont
AUX VERB
Bill Bill
PROPN PROPN
, ,
PUNCT PUNCT
Charlie Charlie
PROPN PROPN
et et
CCONJ CCONJ
Pe Pe-e-e-e-e-e-ercy
PROPN PROPN
- Pe-e-e-e-e-e-ercy
PROPN PROPN
e Pe-e-e-e-e-e-ercy
PROPN PROPN
- Pe-e-e-e-e-e-ercy
PROPN PROPN
e Pe-e-e-e-e-e-ercy
PROPN PROPN
- Pe-e-e-e-e-e-ercy
PROPN PROPN
e Pe-e-e-e-e-e-ercy
PROPN PROPN
- Pe-e-e-e-e-e-ercy
PROPN PROPN
e Pe-e-e-e-e-e-ercy
PROPN PROPN
- Pe-e-e-e-e-e-ercy
PROPN PROPN
e Pe-e-e-e-e-e-ercy
PROPN PROPN
- Pe-e-e-e-e-e-ercy
PROPN PROPN
ercy Pe-e-e-e-e-e-ercy
ADJ PROPN
ercy Pe-e-e-e-e-e-ercy
ADJ PROPN
? ?
PUNCT PUNCT
demanda demanda
PROPN VERB
demanda demanda
PROPN VERB
George George
PROPN PROPN
dans dans
ADP ADP
un un
DET DET
très très
ADV ADV
long long
ADJ ADJ
bâillement bâillement
VERB NOUN
bâillement bâillement
VERB NOUN
qu' qu'
SCONJ SCONJ
il il
PRON PRON
lui lui
PRON PRO
lui lui
PRON PRO
fut fut
AUX VERB
fut fut
AUX VERB
impossible impossible
ADJ ADJ
de de
ADP ADP
retenir retenir
VERB VERB
. .
PUNCT PUNCT
– –
PUNCT PUNCT
Ils Ils
PRON PRON
doivent doivent
VERB VERB
transplaner transplaner
VERB VERB
, ,
PUNCT PUNCT
non non
ADV INTJ
non non
ADV INTJ
? ?
PUNCT PUNCT
répondit répondit
VERB VERB
Mrs Mrs
PROPN NOUN
Mrs Mrs
PROPN NOUN
Weasley Weasley
PROPN PROPN
en en
ADP ADP
apportant apportant
VERB VERB
sur sur
ADP ADP
la la
DET DET
table table
NOUN NOUN
une une
DET DET
grosse grosse
ADJ ADJ
marmite marmite
NOUN NOUN
de de
ADP DET
de de
ADP DET
porridge porridge
ADJ NOUN
porridge porridge
ADJ NOUN
qu' qu'
SCONJ SCONJ
elle elle
PRON PRON
commença commença
VERB VERB
à à
ADP ADP
servir servir
VERB VERB
. .
PUNCT PUNCT
Ils Ils
PRON PRON
peuvent peuvent
VERB VERB
donc donc
ADV CCONJ
donc donc
ADV CCONJ
rester rester
VERB VERB
un un
DET DET
peu peu
ADV ADV
plus plus
ADV ADV
longtemps longtemps
ADV ADV
au au
ADP ADP
lit lit
NOUN NOUN
. .
PUNCT PUNCT
Transplaner Transplaner
PROPN VERB
Transplaner Transplaner
PROPN VERB
signifiait signifiait
VERB VERB
disparaître disparaître
VERB VERB
d' d'
ADP ADP
un un
DET DET
endroit endroit
NOUN NOUN
pour pour
ADP ADP
réapparaître réapparaître
VERB VERB
presque presque
ADV ADV
instantanément instantanément
ADJ ADB
instantanément instantanément
ADJ ADB
dans dans
ADP ADP
un un
DET DET
autre autre
ADJ NOUN
autre autre
ADJ NOUN
et et
CCONJ CCONJ
Harry Harry
PROPN PROPN
savait savait
VERB VERB
que que
SCONJ SCONJ
c' c'
PRON PROPN
c' c'
PRON PROPN
était était
AUX VERB
était était
AUX VERB
un un
DET DET
exercice exercice
NOUN NOUN
très très
ADV ADV
difficile difficile
ADJ ADJ
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Alors Alors
ADV CCONJ
Alors Alors
ADV CCONJ
ils ils
PRON PRON
dorment dorment
VERB VERB
encore encore
ADV ADV
? ?
PUNCT PUNCT
dit dit
VERB VERB
Fred Fred
PROPN PROPN
d' d'
ADP ADP
un un
DET DET
ton ton
NOUN NOUN
grincheux grincheux
ADJ ADJ
en en
ADP ADP
ramenant ramenant
VERB VERB
vers vers
ADP ADP
lui lui
PRON PRON
son son
DET PRON
son son
DET PRON
bol bol
NOUN NOUN
de de
ADP DET
de de
ADP DET
porridge porridge
VERB NOUN
porridge porridge
VERB NOUN
. .
PUNCT PUNCT
Et Et
CCONJ CCONJ
pourquoi pourquoi
ADV ADV
on on
PRON PRON
ne ne
ADV ADV
pourrait pourrait
VERB VERB
pas pas
ADV ADV
transplaner transplaner
VERB VERB
, ,
PUNCT PUNCT
nous nous
PRON PRON
aussi aussi
ADV ADV
? ?
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Parce Parce que
SCONJ CCONJ
Parce Parce que
SCONJ CCONJ
que vous
SCONJ PRON
que vous
SCONJ PRON
vous n'
PRON ADV
vous n'
PRON ADV
n' êtes
ADV VERB
n' êtes
ADV VERB
êtes pas
AUX ADV
êtes pas
AUX ADV
pas encore
ADV ADV
encore majeurs
ADV ADJ
encore majeurs
ADV ADJ
majeurs et
ADJ CCONJ
majeurs et
ADJ CCONJ
et que
CCONJ SCONJ
et que
CCONJ SCONJ
que vous
SCONJ PRON
que vous
SCONJ PRON
vous n'
PRON ADV
vous n'
PRON ADV
n' avez
ADV VERB
n' avez
ADV VERB
avez pas
AUX ADV
avez pas
AUX ADV
pas passé
ADV VERB
passé passé
VERB VERB
votre votre
DET PRON
votre votre
DET PRON
permis permis
NOUN NOUN
, ,
PUNCT PUNCT
répliqua répliqua
NOUN VERB
répliqua répliqua
NOUN VERB
sèchement sèchement
ADJ ADJ
Mrs Mrs
PROPN NOUN
Mrs Mrs
PROPN NOUN
Weasley Weasley
PROPN PROPN
. .
PUNCT PUNCT
Où Où
ADV ADV
sont sont
AUX VERB
sont sont
AUX VERB
les les
DET DET
filles filles
NOUN NOUN
? ?
PUNCT PUNCT
Elle Elle
PRON PRON
sortit sortit
ADJ VERB
sortit sortit
ADJ VERB
en en
ADP ADP
trombe trombe
NOUN ADJ
trombe trombe
NOUN ADJ
de de
ADP ADP
la la
DET DET
cuisine cuisine
NOUN NOUN
et et
CCONJ CCONJ
ils ils
PRON PRON
l' l'
DET DET
entendirent entendirent
NOUN VERB
entendirent entendirent
NOUN VERB
monter monter
VERB VERB
l' l'
DET DET
escalier escalier
NOUN NOUN
. .
PUNCT PUNCT
– –
PUNCT PUNCT
Il Il
PRON PRON
faut faut
VERB VERB
passer passer
VERB VERB
un un
DET DET
permis permis
NOUN NOUN
pour pour
ADP ADP
avoir avoir
VERB VERB
le le
DET DET
droit droit
NOUN NOUN
de de
ADP ADP
transplaner transplaner
VERB VERB
? ?
PUNCT PUNCT
demanda demanda
PROPN VERB
demanda demanda
PROPN VERB
Harry Harry
PROPN PROPN
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Oh Oh
PROPN INTJ
Oh Oh
PROPN INTJ
, ,
PUNCT PUNCT
oui oui
NOUN INTJ
oui oui
NOUN INTJ
, ,
PUNCT PUNCT
répondit répondit
NOUN VERB
répondit répondit
NOUN VERB
Mr Mr
PROPN NOUN
Mr Mr
PROPN NOUN
Weasley Weasley
PROPN PROPN
en en
ADP ADP
rangeant rangeant
VERB VERB
soigneusement soigneusement
ADV ADV
ses ses
DET PRON
ses ses
DET PRON
billets billets
NOUN NOUN
d' d'
ADP DET
d' d'
ADP DET
entrée entrée
NOUN NOUN
dans dans
ADP ADP
la la
DET DET
poche poche
NOUN NOUN
arrière arrière
NOUN ADJ
arrière arrière
NOUN ADJ
de de
ADP DET
de de
ADP DET
son son
DET PRON
son son
DET PRON
jean jean
NOUN NOUN
. .
PUNCT PUNCT
Le Le
DET DET
Département Département
NOUN NOUN
des des
ADP DET
des des
ADP DET
transports transports
NOUN NOUN
magiques magiques
ADJ NOUN
magiques magiques
ADJ NOUN
a a
AUX VERB
a a
AUX VERB
infligé infligé
VERB VERB
une une
DET DET
amende amende
NOUN NOUN
à à
ADP ADP
deux deux
NUM NUM
personnes personnes
NOUN NOUN
l' l'
DET DET
autre autre
ADJ ADJ
jour jour
NOUN NOUN
pour pour
ADP ADP
avoir avoir
VERB VERB
transplané transplané
VERB VERB
sans sans
ADP ADP
permis permis
VERB NOUN
permis permis
VERB NOUN
. .
PUNCT PUNCT
Ce Ce
PRON PRON
n' n'
ADV ADV
est est
AUX VERB
est est
AUX VERB
pas pas
ADV ADV
facile facile
NOUN ADJ
facile facile
NOUN ADJ
, ,
PUNCT PUNCT
le le
DET DET
transplanage transplanage
NOUN NOUN
et et
CCONJ CCONJ
, ,
PUNCT PUNCT
quand quand
SCONJ ADV
quand quand
SCONJ ADV
on on
PRON PRON
ne ne
ADV ADV
le le
PRON PRON
fait fait
NOUN VERB
fait fait
NOUN VERB
pas pas
ADV ADV
convenablement convenablement
ADV ADV
, ,
PUNCT PUNCT
il il
PRON PRON
peut peut
VERB VERB
y y
PRON PRON
avoir avoir
VERB VERB
de de
DET DET
terribles terribles
ADJ ADJ
complications complications
NOUN NOUN
. .
PUNCT PUNCT
Les Les
DET DET
deux deux
PRON NUM
deux deux
PRON NUM
dont dont
PRON PRON
je je
PRON PRON
viens viens
VERB VERB
de de
ADP ADP
parler parler
VERB VERB
se se
PRON PRON
sont sont
AUX AUX
désartibulés désartibulés
VERB VERB
. .
PUNCT PUNCT
Autour Autour
NOUN ADV
Autour Autour
NOUN ADV
de de
ADP ADP
la la
DET DET
table table
NOUN NOUN
, ,
PUNCT PUNCT
tout tout
ADV ADV
le le
DET DET
monde monde
NOUN NOUN
, ,
PUNCT PUNCT
sauf sauf
ADP ADP
Harry Harry
PROPN PROPN
, ,
PUNCT PUNCT
fit fit
NOUN VERB
fit fit
NOUN VERB
la la
DET DET
grimace grimace
NOUN NOUN
. .
PUNCT PUNCT
– –
NOUN PUNCT
– –
NOUN PUNCT
Heu Heu
NOUN INTJ
Heu Heu
NOUN INTJ
... ...
PUNCT PUNCT
désartibulés désartibulés
NOUN ADJ
désartibulés désartibulés
NOUN ADJ
? ?
PUNCT PUNCT
répéta répéta
VERB VERB
Harry Harry
PROPN PROPN
. .
PUNCT PUNCT
– –
PUNCT PUNCT
Ils Ils
PRON PRON
ont ont
AUX AUX
laissé laissé
VERB VERB
la la
DET DET
moitié moitié
NOUN NOUN
de de
ADP ADP
leur leur
DET DET
corps corps
NOUN NOUN
derrière derrière
ADP ADP
eux eux
PRON PRON
, ,
PUNCT PUNCT
expliqua expliqua
VERB VERB
Mr Mr
PROPN PROPN
Weasley Weasley
PROPN PROPN
en en
ADP ADP
versant versant
VERB VERB
de de
ADP ADP
grandes grandes
ADJ ADJ
cuillerées cuillerées
VERB NOUN
cuillerées cuillerées
VERB NOUN
de de
ADP ADP
mélasse mélasse
NOUN NOUN
sur sur
ADP ADP
son son
DET DET
porridge porridge
NOUN NOUN
. .
PUNCT PUNCT
Et Et
CCONJ CCONJ
donc donc
ADV ADJ
donc donc
ADV ADJ
, ,
PUNCT PUNCT
ils ils
PRON PRON
sont sont
AUX AUX
restés restés
VERB VERB
coincés coincés
VERB ADJ
coincés coincés
VERB ADJ
. .
PUNCT PUNCT
Ils Ils
PRON PRON
ne ne
ADV ADV
pouvaient pouvaient
VERB VERB
plus plus
ADV ADV
bouger bouger
ADV VERB
bouger bouger
ADV VERB
ni ni
CCONJ CCONJ
dans dans
ADP ADP
un un
DET DET
sens sens
NOUN NOUN
ni ni
CCONJ CCONJ
dans dans
ADP ADP
l' l'
DET DET
autre autre
PRON PRON
. .
PUNCT PUNCT
Ils Ils
PRON PRON
ont ont
AUX AUX
dû dû
VERB VERB
attendre attendre
VERB VERB
que que
SCONJ SCONJ
la la
DET DET
Brigade Brigade
NOUN PROPN
Brigade Brigade
NOUN PROPN
de de
ADP ADP
réparation réparation
NOUN NOUN
des des
ADP ADP
accidents accidents
NOUN NOUN
de de
ADP ADP
sorcellerie sorcellerie
NOUN NOUN
remette remette
ADJ ADJ
tout tout
ADJ ADJ
ça ça
PRON PRON
en en
ADP ADP
place place
NOUN NOUN
. .
PUNCT PUNCT
Si Si
SCONJ SCONJ
vous vous
PRON PRON
saviez saviez
VERB VERB
le le
DET DET
travail travail
NOUN NOUN
qu' qu'
PRON PRON
on on
PRON PRON
a a
AUX AUX
eu eu
VERB VERB
, ,
PUNCT PUNCT
avec avec
ADP ADP
tous tous
ADJ ADJ
les les
DET DET
Moldus Moldus
NOUN NOUN
qui qui
PRON PRON
avaient avaient
AUX AUX
vu vu
VERB VERB
des des
DET DET
morceaux morceaux
NOUN NOUN
de de
ADP ADP
leurs leurs
DET DET
corps corps
NOUN NOUN
traîner traîner
VERB VERB
par par
ADP ADP
terre terre
NOUN NOUN
... ...
PUNCT PUNCT
Harry Harry
PROPN PROPN
eut eut
VERB VERB
la la
DET DET
soudaine soudaine
NOUN ADJ
soudaine soudaine
NOUN ADJ
vision vision
NOUN NOUN
d' d'
ADP ADP
une une
DET DET
paire paire
NOUN NOUN
de de
ADP ADP
jambes jambes
NOUN NOUN
et et
CCONJ CCONJ
d' d'
ADP ADP
un un
DET DET 
un un
DET DET 
globe globe
NOUN ADJ
globe globe
NOUN ADJ
oculaire oculaire
ADJ NOUN
oculaire oculaire
ADJ NOUN
abandonnés abandonnés
VERB ADJ
abandonnés abandonnés
VERB ADJ
sur sur
ADP ADP
le le
DET DET
trottoir trottoir
NOUN NOUN
de de
ADP ADP
Privet Privet
NOUN PROPN
Privet Privet
NOUN PROPN
Drive Drive
ADJ PROPN
Drive Drive
ADJ PROPN
. .
PUNCT PUNCT
– –
NOUN PUNCT
– –
NOUN PUNCT
Et Et
CCONJ CCONJ
ils ils
PRON PRON
s' s'
PRON PRON
en en
PRON PRON
sont sont
AUX AUX
remis remis
VERB VERB
? ?
PUNCT PUNCT
demanda demanda
ADJ VERB 
demanda demanda
ADJ VERB 
-t -t-il
PRON PRON 
-il -t-il
PRON PRON 
-il -t-il
PRON PRON 
, ,
PUNCT PUNCT
un un
DET DET
peu peu
ADV ADV
ébranlé ébranlé
ADV ADJ
ébranlé ébranlé
ADV ADJ
. .
PUNCT PUNCT
– –
NOUN PUNCT
– –
NOUN PUNCT
Oh Oh
DET INTJ
Oh Oh
DET INTJ
oui oui
NOUN INTJ
oui oui
NOUN INTJ
, ,
PUNCT PUNCT
répondit répondit
NOUN VERB
répondit répondit
NOUN VERB
Mr Mr
PROPN PROPN
Weasley Weasley
PROPN PROPN
d' d'
ADP ADP
un un
DET DET
ton ton
NOUN NOUN
dégagé dégagé
VERB ADJ
dégagé dégagé
VERB ADJ
. .
PUNCT PUNCT
Mais Mais
CCONJ CCONJ
ils ils
PRON PRON
ont ont
AUX AUX
eu eu
VERB VERB
une une
DET DET
lourde lourde
NOUN ADJ
lourde lourde
NOUN ADJ
amende amende
NOUN NOUN
et et
CCONJ CCONJ
je je
PRON PRON
crois crois
VERB VERB
qu' qu'
SCONJ SCONJ
ils ils
PRON PRON
ne ne
ADV ADV
sont sont
AUX AUX
pas pas
ADV ADV
près près
ADV ADV
de de
ADP ADP
recommencer recommencer
VERB VERB
. .
PUNCT PUNCT
Il Il
PRON PRON
ne ne
ADV ADV
faut faut
VERB VERB
pas pas
ADV ADV
plaisanter plaisanter
VERB VERB
avec avec
ADP ADP
le le
DET DET
transplanage transplanage
NOUN NOUN
. .
PUNCT PUNCT
Il Il
PRON PRON
y y
PRON PRON
a a
VERB VERB
beaucoup beaucoup
ADV ADV
de de
ADP ADP
sorciers sorciers
ADJ NOUN
sorciers sorciers
ADJ NOUN
expérimentés expérimentés
NOUN ADJ
expérimentés expérimentés
NOUN ADJ
qui qui
PRON PRON
ne ne
ADV ADV
s' s’
PRON PRON
y y
PRON PRON
risquent risquent
VERB VERB
pas pas
ADV ADV
. .
PUNCT PUNCT
Ils Ils
PRON PRON
préfèrent préfèrent
VERB VERB
les les
DET DET
balais balais
PROPN PROPN
— –
VERB PUNCT
— –
VERB PUNCT
c' c'
PRON PRON 
c' c'
PRON PRON 
est est
AUX AUX
plus plus
ADV ADV
lent lent
ADV ADV
, ,
PUNCT PUNCT
mais mais
CCONJ CCONJ
plus plus
ADV ADV
sûr sûr
ADJ ADJ
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Et Et
CCONJ CCONJ
Bill Bill
PROPN PROPN
, ,
PUNCT PUNCT
Charlie Charlie
PROPN PROPN
et et
CCONJ CCONJ
Percy Percy
PROPN PROPN
savent savent
VERB VERB
le le
PRON PRON 
le le
PRON PRON 
faire faire
VERB VERB
? ?
PUNCT PUNCT
– –
PROPN PUNCT 
– –
PROPN PUNCT 
Charlie Charlie
PROPN PROPN
a a
AUX AUX
dû dû
VERB VERB
repasser repasser
VERB VERB
son son
DET DET
permis permis
NOUN VERB
permis permis
NOUN VERB
, ,
PUNCT PUNCT
dit dit
X VERB
dit dit
X VERB
Fred Fred
PROPN PROPN
avec avec
ADP ADP
un un
DET DET
sourire sourire
NOUN NOUN
. .
PUNCT PUNCT
Il Il
PRON PRON
l' l'
PRON 
l' l'
PRON 
a a
AUX AUX
raté raté
VERB VERB
la la
DET DET
première première
ADJ ADJ
fois fois
NOUN NOUN
. .
PUNCT PUNCT
Il Il
PRON PRON
a a
AUX AUX
transplané transplané
AUX VERB
transplané transplané
AUX VERB
huit huit
NUM NUM
kilomètres kilomètres
NOUN NOUN
plus plus
ADV ADV
au au
ADP ADP
sud sud
NOUN NOUN
que que
SCONJ SCONJ
l' l'endroit
DET NOUN
endroit l'endroit
AUX NOUN
endroit l'endroit
AUX NOUN
prévu prévu
VERB VERB
, ,
PUNCT PUNCT
sur sur
ADP ADP
la la
DET DET
tête tête
NOUN NOUN
d' d'une
ADP ADP
une d'une
DET ADP
une d'une
DET ADP
pauvre pauvre
NOUN ADJ
pauvre pauvre
NOUN ADJ
femme femme
NOUN NOUN
qui qui
PRON PRON
faisait faisait
VERB VERB
ses ses
DET DET
courses courses
NOUN NOUN
, ,
PUNCT PUNCT
vous vous
PRON PRON
vous vous
PRON PRON
souvenez souvenez
VERB VERB
? ?
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Oui Oui
NOUN INTJ
Oui Oui
NOUN INTJ
et et
CCONJ CCONJ
alors alors
ADV ADV
? ?
PUNCT PUNCT
Il Il
PRON PRON
l' l
PRON PRON
l' '
PRON 
l' '
PRON 
a a
VERB AUX
a a
VERB AUX
réussi réussi
ADV VERB
réussi réussi
ADV VERB
la la
DET DET
deuxième deuxième
ADJ ADJ
fois fois
NOUN NOUN
, ,
PUNCT PUNCT
dit dit
VERB VERB
Mrs Mrs
PROPN NOUN
Mrs Mrs
PROPN NOUN
Weasley Weasley
PROPN PROPN
en en
ADP ADP
revenant revenant
VERB VERB
dans dans
ADP ADP
la la
DET DET
cuisine cuisine
NOUN NOUN
au au
ADP ADP
milieu milieu
NOUN NOUN
de de
ADP ADP
ricanements ricanements
NOUN NOUN
sonores sonores
ADJ ADJ
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
